dataset,fold,model,Accuracy,F1,ROC-AUC,PR-AUC,SPD,DIR,EOD,A_flip_prob_rate,A_flip_class_rate
acs_employment_ca_2018,2,XGBoost,0.816,0.8117326057298773,0.8988307494777241,0.858400137695783,0.02430490119063833,0.9547080095272866,0.03118790854983511,0.0,0.00016666666666666666
acs_employment_ca_2018,2,XGBoost+RW,0.8158333333333333,0.8115942028985508,0.8987813582498079,0.8582498172578804,0.024031078627659186,0.9552182757002033,0.02812515058840137,0.0,0.0
acs_employment_ca_2018,3,LogisticRegression,0.7625,0.7620637836032726,0.8347139357517562,0.7515956153589249,0.025038000581015907,0.955138621423874,0.036810816873833696,0.0,0.076
acs_employment_ca_2018,3,XGBoost,0.8073333333333333,0.8061053337806106,0.8912256763602272,0.8386221509620724,0.02315916297496612,0.9580799075228549,0.025424276104919374,0.0,0.0011666666666666668
acs_employment_ca_2018,3,XGBoost+RW,0.8086666666666666,0.8073178919100369,0.891226292350598,0.8384533936166662,0.02635557351456197,0.9524066412240968,0.030430955075848032,0.0,0.00016666666666666666
acs_employment_ca_2018,4,LogisticRegression,0.7766666666666666,0.7731120894006096,0.8508296438310077,0.7768020165839924,0.00425920612460684,0.9919711014357078,0.0035936560663924477,0.0,0.08133333333333333
acs_employment_ca_2018,4,XGBoost,0.8235,0.8175081854213337,0.9006976482943618,0.8537400410580536,0.009733522870619238,0.9811958686070927,0.02176773843440505,0.0,0.0
acs_employment_ca_2018,4,XGBoost+RW,0.8235,0.8174452680572315,0.900604801745739,0.8533089635373248,0.009575783163603191,0.981485227233133,0.020818070818070744,0.0,0.0005
acs_employment_ca_2018,5,LogisticRegression,0.772,0.7697744867048132,0.84225249367844,0.7637340123931816,0.024364143891657752,0.9556878312489447,0.025280695400217323,0.0,0.07266666666666667
acs_employment_ca_2018,5,XGBoost,0.8131666666666667,0.8099677911510426,0.8922259709037993,0.844943066960438,0.020045024452774673,0.9628819263287737,0.01452312953847798,0.0,0.00016666666666666666
